全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,効力発生日,廃止日,備考,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字
016021,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,沙流郡,サルグン,Saru-gun,平取町,ビラトリチョウ,Biratori-cho,,,
016047,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,新冠郡,ニイカップグン,Niikappu-gun,新冠町,ニイカップチョウ,Niikappu-cho,,,
016071,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,浦河郡,ウラカワグン,Urakawa-gun,浦河町,ウラカワチョウ,Urakawa-cho,,,
016080,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,様似郡,サマニグン,Samani-gun,様似町,サマニチョウ,Samani-cho,,,
016098,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,幌泉郡,ホロイズミグン,Horoizumi-gun,えりも町,エリモチョウ,Erimo-cho,,,
016101,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,日高郡,ヒダカグン,Hidaka-gun,新ひだか町,シンヒダカチョウ,Shinhidaka-cho,,,
016314,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,河東郡,カトウグン,Kato-gun,音更町,オトフケチョウ,Otofuke-cho,,,
016322,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,河東郡,カトウグン,Kato-gun,士幌町,シホロチョウ,Shihoro-cho,,,
016331,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,河東郡,カトウグン,Kato-gun,上士幌町,カミシホロチョウ,Kamishihoro-cho,,,
016349,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,河東郡,カトウグン,Kato-gun,鹿追町,シカオイチョウ,Shikaoi-cho,,,
016357,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,新得町,シントクチョウ,Shintoku-cho,,,
016365,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,清水町,シミズチョウ,Shimizu-cho,,,
016373,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,河西郡,カサイグン,Kasai-gun,芽室町,メムロチョウ,Memuro-cho,,,
016381,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,河西郡,カサイグン,Kasai-gun,中札内村,ナカサツナイムラ,Nakasatsunai-mura,,,
016390,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,河西郡,カサイグン,Kasai-gun,更別村,サラベツムラ,Sarabetsu-mura,,,
016411,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,広尾郡,ヒロオグン,Hiro-gun,大樹町,タイキチョウ,Taiki-cho,,,
016420,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,広尾郡,ヒロオグン,Hiro-gun,広尾町,ヒロオチョウ,Hiro-cho,,,
016438,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,中川郡,ナカガワグン,Nakagawa-gun,幕別町,マクベツチョウ,Makubetsu-cho,,,
016446,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,中川郡,ナカガワグン,Nakagawa-gun,池田町,イケダチョウ,Ikeda-cho,,,
